"","c...106.079272..35.032347.....106.068962..35.027495.....106.538399..35.192296..."
"3048","-105.687652, 33.37383"
"3049","-105.692166, 33.373472"
"3050","-105.686944, 33.376722"
"3051","-105.90478, 32.706952"
"3052","-105.926136, 32.753787"
"3053","-105.918484, 32.742843"
"3054","-105.945195, 32.784823"
"3055","-105.945417, 32.787623"
"3056","-105.94579, 32.780211"
"3057","-105.937497, 32.786589"
"3058","-105.939389, 32.781161"
"3059","-106.076667, 32.843194"
"3060","-105.90925, 32.905222"
"3061","-105.912527, 32.904805"
"3062","-105.852222, 33.004555"
"3063","-105.611833, 32.926888"
"3064","-105.612972, 32.933361"
"3065","-105.611555, 32.932583"
"3066","-105.61525, 32.930416"
"3067","-105.928065, 32.977139"
"3068","-105.930689, 32.976818"
"3069","-105.984111, 32.977361"
"3070","-105.808416, 32.941055"
"3071","-105.809833, 32.941277"
"3072","-105.667769, 33.427189"
"3073","-105.672171, 33.433025"
"3074","-105.66725, 33.426667"
"3075","-105.667708, 33.427196"
"3076","-105.671389, 33.432778"
"3077","-105.6683, 33.430297"
"3078","-105.667708, 33.427196"
"3079","-105.970542, 32.845922"
"3080","-105.970542, 32.845922"
"3081","-105.977972, 32.973472"
"3082","-105.974948, 32.974593"
"3083","-105.975083, 32.974694"
"3084","-105.802916, 32.785111"
"3085","-105.802472, 32.784694"
"3086","-105.819027, 32.790111"
"3087","-105.843806, 32.995111"
"3088","-105.859155, 32.994811"
"3089","-105.684839, 32.910444"
"3090","-103.666811, 35.172842"
"3091","-106.040249, 35.999188"
"3092","-105.691591, 32.91087"
"3093","-105.707746, 32.910661"
"3094","-106.586878, 35.804278"
"3095","-106.585434, 35.81303"
"3096","-106.587388, 35.804305"
"3097","-106.588333, 35.8025"
"3098","-106.587388, 35.804305"
"3099","-106.588087, 35.801865"
"3100","-106.585622, 35.813042"
"3101","-106.587388, 35.804305"
"3102","-106.587388, 35.804305"
"3103","-105.658136, 33.415808"
"3104","-106.730333, 34.7135"
"3105","-109.035611, 34.111083"
"3106","-105.9795, 32.761569"
"3107","-104.259252, 32.404655"
"3108","-104.256972, 32.405266"
"3109","-104.259222, 32.404666"
"3110","-106.01898, 35.639636"
"3111","-106.01898, 35.639636"
"3112","-105.91381, 35.830421"
"3113","-106.802449, 32.35105"
"3114","-106.825006, 32.360648"
"3115","-106.809485, 32.381806"
"3116","-106.822665, 32.381806"
"3117","-106.797561, 32.355108"
"3118","-106.810046, 32.381897"
"3119","-106.814578, 32.390533"
"3120","-106.823227, 32.381897"
"3121","-106.825006, 32.360648"
"3122","-106.864228, 32.355083"
"3123","-106.816673, 32.390647"
"3124","-106.800561, 32.366759"
"3125","-106.814017, 32.390442"
"3126","-106.809483, 32.381806"
"3127","-106.822665, 32.381806"
"3128","-106.804024, 32.392358"
"3129","-106.804024, 32.392358"
"3130","-106.782887, 32.366559"
"3131","-106.782887, 32.366559"
"3132","-106.831696, 32.300164"
"3133","-106.835097, 32.299058"
"3134","-106.831649, 32.30021"
"3135","-106.831647, 32.300207"
"3136","-104.412323, 32.880002"
"3137","-104.412416, 32.879361"
"3138","-106.822944, 32.320393"
"3139","-106.823188, 32.320685"
"3140","-108.193457, 32.775617"
"3141","-108.193472, 32.775607"
"3142","-108.711503, 32.381298"
"3143","-108.708921, 32.380613"
"3144","-108.710579, 32.381012"
"3145","-108.711048, 32.381194"
"3146","-108.550363, 31.912181"
"3147","-108.550683, 31.912738"
"3148","-108.551393, 31.906906"
"3149","-108.550775, 31.912845"
"3150","-108.5592, 32.052537"
"3151","-108.5592, 32.052537"
"3152","-108.947791, 32.238789"
"3153","-108.948216, 32.236172"
"3154","-108.641805, 35.536055"
"3155","-105.681972, 35.591861"
"3156","-108.438131, 35.490302"
"3157","-108.438666, 35.489777"
"3158","-108.42756, 35.48877"
"3159","-108.878333, 35.495277"
"3160","-106.344883, 34.957933"
"3161","-106.344376, 34.958217"
"3162","-106.336589, 34.962956"
"3163","-108.150667, 32.80031"
"3164","-108.150667, 32.80031"
"3165","-108.150667, 32.80031"
"3166","-108.150667, 32.80031"
"3167","-108.150667, 32.80031"
"3168","-106.696705, 31.788768"
"3169","-106.674936, 31.78877"
"3170","-106.348833, 35.453528"
"3171","-106.349317, 35.456588"
"3172","-105.620833, 36.354167"
"3173","-106.763888, 34.704361"
"3174","-104.995833, 36.377638"
"3175","-104.995833, 36.377638"
"3176","-106.823333, 32.313611"
"3177","-106.05431, 35.535801"
"3178","-106.054993, 35.535867"
"3179","-105.896111, 36.3625"
"3180","-105.896111, 36.3625"
"3181","-105.766806, 36.307556"
"3182","-105.767778, 36.304722"
"3183","-106.368324, 35.099232"
"3184","-106.681389, 36.176389"
"3185","-106.392883, 35.080129"
"3186","-105.785916, 36.285722"
"3187","-106.718349, 35.162211"
"3188","-105.468443, 36.370221"
"3189","-106.650556, 35.084444"
"3190","-106.650556, 35.084444"
"3191","-105.448435, 36.596185"
"3192","-105.448435, 36.596185"
"3193","-106.65989, 35.00497"
"3194","-106.471497, 35.166591"
"3195","-106.471497, 35.166591"
"3196","-106.324902, 34.985461"
"3197","-106.324952, 34.985656"
"3198","-106.76615, 34.690686"
"3199","-105.384416, 36.370861"
"3200","-106.387901, 35.077844"
"3201","-105.995272, 35.850527"
"3202","-106.339919, 35.105488"
"3203","-106.697666, 34.956891"
"3204","-105.945028, 35.397417"
"3205","-105.945722, 35.397694"
"3206","-105.844177, 35.589598"
"3207","-105.844177, 35.589598"
"3208","-106.723111, 35.02268"
"3209","-106.661148, 34.961129"
"3210","-106.661408, 34.961972"
"3211","-106.661446, 34.961182"
"3212","-106.736708, 34.653347"
"3213","-106.311542, 35.989957"
"3214","-106.657211, 35.005287"
"3215","-106.938611, 35.033611"
"3216","-105.913993, 35.819861"
"3217","-107.545278, 36.2325"
"3218","-106.557416, 36.749444"
"3219","-106.560277, 36.74975"
"3220","-106.137111, 36.093222"
"3221","-104.715833, 34.949636"
"3222","-106.935055, 34.188656"
"3223","-106.93525, 34.189611"
"3224","-106.139952, 35.558583"
"3225","-106.139958, 35.558611"
"3226","-106.02725, 35.654"
"3227","-107.887558, 35.151426"
"3228","-107.921454, 36.718061"
"3229","-107.966667, 36.725"
"3230","-107.922539, 36.718723"
"3231","-107.122777, 36.483888"
"3232","-106.559043, 35.050509"
"3233","-106.581111, 35.0425"
"3234","-106.563061, 35.06524"
"3235","-106.560154, 35.035049"
"3236","-106.569663, 35.042132"
"3237","-106.52368, 35.041575"
"3238","-106.603989, 35.057886"
"3239","-106.613999, 35.051119"
"3240","-106.596049, 35.050242"
"3241","-106.554321, 35.049702"
"3242","-106.5549, 35.04975"
"3243","-106.586902, 35.052111"
"3244","-106.508361, 35.038527"
"3245","-106.562888, 35.065388"
"3246","-106.52368, 35.041575"
"3247","-106.596086, 35.05003"
"3248","-106.559043, 35.050509"
"3249","-108.35369, 36.73778"
"3250","-103.315, 34.4025"
"3251","-103.328952, 34.404575"
"3252","-103.314511, 34.398855"
"3253","-103.321164, 34.402497"
"3254","-103.302525, 34.394227"
"3255","-103.330336, 34.395736"
"3256","-103.32015, 34.404119"
"3257","-103.313647, 34.400461"
"3258","-103.319411, 34.397402"
"3259","-103.319411, 34.397402"
"3260","-103.330336, 34.395736"
"3261","-103.302525, 34.394227"
"3262","-106.48394, 32.385872"
"3263","-106.499829, 32.387499"
"3264","-106.494507, 32.392582"
"3265","-106.892944, 33.8046"
"3266","-106.892833, 33.805889"
"3267","-106.892833, 34.805861"
"3268","-105.563813, 36.540743"
"3269","-106.365433, 35.132919"
"3270","-106.696194, 34.987111"
"3271","-106.650556, 35.084444"
"3272","-107.097092, 35.041228"
"3273","-107.098027, 35.041472"
"3274","-106.938611, 35.033611"
"3275","-108.492235, 34.340458"
"3276","-108.490938, 34.339344"
"3277","-105.291676, 36.404699"
"3278","-103.186681, 34.514728"
"3279","-106.425861, 35.31075"
"3280","-106.072355, 35.593556"
"3281","-106.341667, 33.679722"
"3282","-106.341667, 33.679722"
"3283","-105.481648, 36.369811"
"3284","-105.121728, 36.484478"
"3285","-106.639583, 31.951578"
"3286","-103.331805, 32.943555"
"3287","-103.326361, 32.943527"
"3288","-107.597778, 48.702778"
"3289","-107.584722, 36.803889"
"3290","-107.597778, 48.702778"
"3291","-106.616361, 35.222166"
"3292","-107.016444, 33.635555"
"3293","-107.016444, 33.635555"
"3294","-105.589166, 36.381138"
"3295","-106.389359, 35.135062"
"3296","-105.01681, 36.378619"
"3297","-105.045833, 36.681944"
"3298","-106.634444, 31.998889"
"3299","-106.605341, 35.823405"
"3300","-106.604855, 35.824113"
"3301","-105.928826, 35.632837"
"3302","-105.436864, 36.708132"
"3303","-105.144806, 36.389944"
"3304","-105.144806, 36.389944"
"3305","-106.549244, 32.411351"
"3306","-106.669278, 35.2615"
"3307","-106.669278, 35.2615"
"3308","-105.884008, 35.543349"
"3309","-105.448017, 36.707065"
"3310","-106.759533, 34.710166"
"3311","-106.759533, 34.710016"
"3312","-105.191861, 36.626417"
"3313","-105.191861, 36.626417"
"3314","-106.589709, 32.329616"
"3315","-106.722056, 35.715139"
"3316","-106.722042, 35.715144"
"3317","-105.104444, 36.426278"
"3318","-105.104444, 36.42625"
"3319","-106.606556, 32.066139"
"3320","-106.606222, 32.065361"
"3321","-105.887333, 33.400778"
"3322","-106.564284, 36.749514"
"3323","-106.564284, 36.749514"
"3324","-106.715648, 35.724592"
"3325","-105.927771, 35.755973"
"3326","-107.222111, 33.204615"
"3327","-107.2215, 33.20457"
"3328","-104.211255, 35.377505"
"3329","-104.211858, 35.374602"
"3330","-106.780229, 34.435874"
"3331","-106.780222, 34.436027"
"3332","-106.870972, 33.921864"
"3333","-106.890805, 33.972138"
"3334","-106.887575, 33.922078"
"3335","-106.890805, 33.972138"
"3336","-106.871555, 33.921972"
"3337","-106.884722, 33.895"
"3338","-106.878222, 33.922388"
"3339","-106.878222, 33.922388"
"3340","-106.821222, 33.901027"
"3341","-105.401666, 35.826388"
"3342","-105.411569, 35.816424"
"3343","-105.40125, 35.830666"
"3344","-105.410333, 35.816138"
"3345","-105.615833, 36.756472"
"3346","-105.658277, 36.12175"
"3347","-105.658904, 36.121803"
"3348","-105.809805, 32.939888"
"3349","-105.809722, 32.939722"
"3350","-105.809666, 32.933111"
"3351","-105.37674, 36.365342"
"3352","-105.377473, 36.361092"
"3353","-105.377964, 36.361077"
"3354","-105.378887, 36.363031"
"3355","-105.376761, 36.365041"
"3356","-105.37794, 36.361083"
"3357","-105.376767, 36.365122"
"3358","-105.595898, 36.528275"
"3359","-105.595898, 36.528275"
"3360","-106.014939, 35.630448"
"3361","-105.603591, 36.609108"
"3362","-106.042828, 35.635532"
"3363","-105.572637, 34.613402"
"3364","-105.56612, 36.532831"
"3365","-105.591011, 36.410164"
"3366","-105.591011, 36.410164"
"3367","-105.731997, 35.056522"
"3368","-105.784722, 35.195555"
"3369","-105.784698, 35.195565"
"3370","-105.784136, 35.195216"
"3371","-105.668161, 35.010247"
"3372","-105.668247, 35.010063"
"3373","-106.018516, 34.969997"
"3374","-106.019055, 34.970044"
"3375","-106.01975, 34.969961"
"3376","-106.019055, 34.970044"
"3377","-106.018014, 34.970133"
"3378","-106.618004, 35.084081"
"3379","-106.61365, 35.085244"
"3380","-106.618041, 35.0841"
"3381","-106.049972, 35.018472"
"3382","-106.049736, 35.018416"
"3383","-106.707836, 35.059611"
"3384","-106.120389, 34.980417"
"3385","-106.120305, 34.980194"
"3386","-106.62947, 35.141989"
"3387","-106.361015, 35.102772"
"3388","-106.361015, 35.102772"
"3389","-106.365834, 35.112056"
"3390","-106.759868, 32.270648"
"3391","-106.759868, 32.270648"
"3392","-106.652, 35.869722"
"3393","-106.650305, 35.873777"
"3394","-106.651972, 35.869722"
"3395","-106.503198, 35.314482"
"3396","-106.519305, 35.318666"
"3397","-106.502848, 35.313674"
"3398","-106.503198, 35.314482"
"3399","-106.502777, 35.313666"
"3400","-106.502777, 35.313673"
"3401","-106.789536, 32.366164"
"3402","-106.789535, 32.349497"
"3403","-106.788975, 32.349405"
"3404","-106.788975, 32.049405"
"3405","-106.871063, 32.277729"
"3406","-105.764767, 35.574314"
"3407","-105.956862, 32.815023"
"3408","-105.956404, 32.81088"
"3409","-105.969708, 32.807311"
"3410","-105.957815, 32.812864"
"3411","-105.97103, 32.81236"
"3412","-105.94628, 32.819231"
"3413","-105.970819, 32.819256"
"3414","-105.974303, 32.815362"
"3415","-105.96791, 32.813375"
"3416","-105.953, 32.779982"
"3417","-104.400938, 34.612338"
"3418","-107.9361, 32.805205"
"3419","-107.9361, 32.805205"
"3420","-104.238313, 35.067647"
"3421","-105.667975, 33.418796"
"3422","-104.859402, 35.878308"
"3423","-106.34425, 36.215583"
"3424","-106.343631, 36.215633"
"3425","-103.251255, 34.250383"
"3426","-106.761893, 35.671373"
"3427","-106.738503, 35.655683"
"3428","-106.764933, 35.670691"
"3429","-106.737442, 35.65593"
"3430","-108.101666, 35.307916"
"3431","-108.10258, 35.30928"
"3432","-108.234166, 35.417333"
"3433","-108.234166, 35.417333"
"3434","-108.233333, 35.417222"
"3435","-107.93319, 36.72625"
"3436","-107.941666, 36.721388"
"3437","-106.188861, 35.061055"
"3438","-106.188805, 39.060888"
"3439","-106.188722, 35.060861"
"3440","-106.195611, 35.051055"
"3441","-106.195361, 35.051027"
"3442","-105.686516, 35.550703"
"3443","-105.689461, 35.550037"
"3444","-107.137025, 33.621184"
"3445","-107.137638, 33.621277"
"3446","-106.19525, 35.051027"
"3447","-105.482975, 36.594233"
"3448","-106.111666, 34.250444"
"3449","-106.111666, 34.583777"
"3450","-108.495083, 34.342277"
"3451","-106.052049, 35.537034"
"3452","-106.05431, 35.535801"
"3453","-105.789822, 36.267578"
"3454","-105.789599, 36.267384"
"3455","-105.185972, 36.47275"
"3456","-105.185972, 36.47275"
"3457","-105.996722, 35.851102"
"3458","-105.592861, 36.384222"
"3459","-106.728495, 34.738861"
"3460","-105.047639, 36.405083"
"3461","-105.048889, 36.405833"
"3462","-106.161111, 35.082778"
"3463","-106.161111, 35.082778"
"3464","-105.65275, 36.347527"
"3465","-105.65275, 36.347527"
"3466","-106.695859, 34.863664"
"3467","-105.121728, 36.484478"
"3468","-105.117611, 36.484083"
"3469","-105.080783, 36.549747"
"3470","-105.258322, 33.37943"
"3471","-105.258202, 33.379541"
"3472","-105.256861, 33.380222"
"3473","-107.618095, 32.178295"
"3474","-105.642059, 32.780243"
"3475","-106.654831, 34.795792"
"3476","-106.379959, 35.126179"
"3477","-106.379364, 35.126083"
"3478","-105.053083, 36.6245"
"3479","-105.053083, 36.6245"
"3480","-106.677983, 32.061911"
"3481","-106.64159, 35.874229"
"3482","-106.64159, 35.874229"
"3483","-106.065233, 35.876914"
"3484","-106.065138, 35.874722"
"3485","-105.593694, 36.370831"
"3486","-105.593333, 36.370278"
"3487","-105.066028, 36.499306"
"3488","-105.066587, 36.49934"
"3489","-106.675299, 31.788764"
"3490","-103.993665, 36.741663"
"3491","-107.810111, 34.969972"
"3492","-107.810083, 34.970611"
"3493","-106.708239, 35.100212"
"3494","-107.88905, 34.142111"
"3495","-107.8895, 34.142972"
"3496","-107.885277, 34.141055"
"3497","-107.879693, 34.141088"
"3498","-107.889469, 34.143008"
"3499","-104.337778, 33.344167"
"3500","-105.295136, 36.412805"
"3501","-103.318972, 34.407777"
"3502","-106.782672, 32.323595"
"3503","-104.223611, 32.432778"
"3504","-105.246535, 33.372172"
"3505","-107.735741, 32.211213"
"3506","-108.777863, 35.596688"
"3507","-105.925833, 33.353333"
"3508","-105.925833, 33.353333"
"3509","-106.541072, 36.714156"
"3510","-106.541072, 36.714156"
"3511","-107.569722, 32.719722"
"3512","-106.890514, 34.060098"
"3513","-106.889931, 34.060032"
"3514","-105.572113, 36.407676"
"3515","-105.572113, 36.407676"
"3516","-108.037555, 34.992861"
"3517","-108.03775, 34.992833"
"3518","-106.645448, 35.088078"
"3519","-106.645448, 35.088078"
"3520","-108.506055, 34.143222"
"3521","-105.294009, 36.411949"
"3522","-103.079665, 34.390724"
"3523","-103.079665, 34.390724"
"3524","-106.762186, 32.299521"
"3525","-107.961698, 32.839844"
"3526","-105.331194, 33.410111"
"3527","-108.90045, 35.45387"
"3528","-108.900408, 35.485867"
"3529","-106.68988, 36.18955"
"3530","-106.567789, 35.331677"
"3531","-105.594508, 36.582969"
"3532","-106.677666, 34.732027"
"3533","-106.676138, 34.735277"
"3534","-106.677666, 34.732027"
"3535","-106.676138, 34.735305"
"3536","-106.677666, 34.732027"
"3537","-106.676138, 34.735277"
"3538","-106.381668, 35.08365"
"3539","-103.784725, 34.311588"
"3540","-103.784211, 34.311667"
"3541","-103.784725, 34.311588"
"3542","-103.784211, 34.311667"
"3543","-107.932223, 32.806919"
"3544","-108.503963, 35.134477"
"3545","-108.503333, 35.134444"
"3546","-106.111625, 35.574317"
"3547","-104.373816, 34.613488"
"3548","-106.859644, 32.291705"
"3549","-104.69744, 32.245206"
"3550","-104.697278, 32.246861"
"3551","-104.697528, 32.245333"
"3552","-108.358916, 32.661787"
"3553","-108.359185, 32.661365"
"3554","-108.358926, 32.661834"
"3555","-105.072308, 34.981193"
"3556","-105.084377, 34.982616"
"3557","-105.084397, 34.982624"
"3558","-108.593253, 32.009068"
"3559","-108.630826, 31.968229"
"3560","-108.626605, 31.910333"
"3561","-108.610903, 31.864679"
"3562","-108.610194, 31.849572"
"3563","-108.574989, 31.779301"
"3564","-108.569646, 31.772902"
"3565","-108.548889, 31.76413"
"3566","-108.538195, 31.761669"
"3567","-103.173269, 32.714798"
"3568","-105.234343, 36.175229"
"3569","-105.234445, 36.174645"
"3570","-106.641979, 35.87099"
"3571","-107.83255, 36.718188"
"3572","-105.932214, 35.989108"
"3573","-105.932214, 35.989108"
"3574","-107.318886, 32.848474"
"3575","-105.761944, 35.578056"
"3576","-106.775134, 34.666838"
"3577","-106.774553, 34.666779"
"3578","-106.335426, 35.105473"
"3579","-105.088056, 36.677222"
"3580","-105.088056, 36.677222"
"3581","-106.615357, 35.222251"
"3582","-106.606111, 35.237778"
"3583","-105.596138, 36.372277"
"3584","-106.732778, 34.806111"
"3585","-106.732778, 34.806111"
"3586","-105.914872, 35.981413"
"3587","-105.914853, 35.981413"
"3588","-105.602222, 36.363333"
"3589","-106.366226, 35.128716"
"3590","-106.366059, 35.129161"
"3591","-105.102444, 36.388111"
"3592","-105.103006, 36.388146"
"3593","-106.621594, 35.05394"
"3594","-105.023503, 36.521951"
"3595","-105.018114, 36.517646"
"3596","-106.005278, 35.647778"
"3597","-105.582833, 36.389361"
"3598","-106.70697, 34.797555"
"3599","-106.70697, 34.797555"
"3600","-106.70697, 34.797555"
"3601","-106.70697, 34.797555"
"3602","-106.594427, 35.172602"
"3603","-106.593942, 35.172609"
"3604","-106.086083, 35.631222"
"3605","-105.482166, 36.594666"
"3606","-105.041972, 36.422944"
"3607","-105.041972, 36.422944"
"3608","-106.623056, 35.221333"
"3609","-105.953207, 35.590286"
"3610","-105.574853, 36.4065"
"3611","-105.574914, 36.407007"
"3612","-105.119222, 36.416638"
"3613","-105.119222, 36.416638"
"3614","-106.619167, 35.23525"
"3615","-105.570482, 36.418026"
"3616","-106.583259, 35.05543"
"3617","-106.582555, 35.05275"
"3618","-106.582555, 35.05275"
"3619","-105.037002, 36.621951"
"3620","-105.036417, 36.621917"
"3621","-106.031883, 35.892914"
"3622","-105.56131, 36.38793"
"3623","-106.382, 35.074361"
"3624","-106.382057, 35.07435"
"3625","-105.111055, 36.623944"
"3626","-105.111055, 36.623944"
"3627","-105.505678, 36.379267"
"3628","-106.488333, 35.116667"
"3629","-104.934835, 36.368536"
"3630","-104.930556, 36.367778"
"3631","-105.515278, 36.130556"
"3632","-104.990278, 36.434167"
"3633","-105.922948, 35.649726"
"3634","-105.923259, 35.649201"
"3635","-105.108944, 36.515345"
"3636","-105.111194, 36.513416"
"3637","-105.94258, 35.412769"
"3638","-106.370777, 34.782333"
"3639","-103.301333, 36.573194"
"3640","-106.764399, 34.646078"
"3641","-108.122806, 35.28525"
"3642","-108.122797, 35.285207"
"3643","-103.323847, 34.492425"
"3644","-103.320672, 34.492391"
"3645","-104.691847, 32.20394"
"3646","-108.879656, 32.130438"
"3647","-105.684583, 33.397806"
"3648","-105.684583, 33.397527"
"3649","-109.004444, 35.3975"
"3650","-108.993333, 35.421944"
"3651","-105.363985, 35.983922"
"3652","-103.894866, 35.117741"
"3653","-103.894866, 35.117741"
"3654","-107.90404, 36.03119"
"3655","-107.90404, 36.03119"
"3656","-106.051222, 35.630389"
"3657","-108.885568, 33.3213"
"3658","-108.885568, 33.3213"
"3659","-105.091617, 36.558815"
"3660","-105.091617, 36.558815"
"3661","-106.922098, 32.48291"
"3662","-104.225078, 32.444664"
"3663","-104.225194, 32.444778"
"3664","-104.225061, 32.444168"
"3665","-108.434736, 32.616119"
"3666","-108.434901, 32.617563"
"3667","-108.434736, 32.616119"
"3668","-108.434964, 32.620495"
"3669","-108.436788, 32.614725"
"3670","-108.434901, 32.600896"
"3671","-108.436788, 32.614725"
"3672","-108.434964, 32.620495"
"3673","-105.060493, 33.333397"
"3674","-105.060493, 33.333397"
"3675","-105.559444, 32.787778"
"3676","-105.559444, 32.787778"
"3677","-105.557146, 32.794101"
"3678","-105.561935, 32.787628"
"3679","-105.915833, 35.008667"
"3680","-107.848264, 34.144796"
"3681","-105.082851, 36.548481"
"3682","-104.098333, 35.900889"
"3683","-104.098556, 35.900861"
"3684","-108.953007, 32.232884"
"3685","-103.141719, 32.741088"
"3686","-103.138889, 32.7375"
"3687","-108.137282, 32.854783"
"3688","-108.137614, 32.855117"
"3689","-108.138772, 32.862164"
"3690","-108.139311, 32.862298"
"3691","-106.441583, 36.745111"
"3692","-106.439759, 36.744472"
"3693","-106.441583, 36.745111"
"3694","-106.439777, 36.7445"
"3695","-106.440688, 36.747375"
"3696","-106.441738, 36.745227"
"3697","-106.389759, 36.744472"
"3698","-106.441675, 36.745165"
"3699","-106.613566, 35.227837"
"3700","-106.612889, 35.227528"
"3701","-106.613566, 35.227837"
"3702","-106.612888, 35.227774"
"3703","-107.615669, 36.82333"
"3704","-107.617758, 36.822913"
"3705","-105.657844, 35.828732"
"3706","-107.118305, 33.637194"
"3707","-107.116138, 33.638111"
"3708","-105.826936, 35.005985"
"3709","-105.826936, 35.005985"
"3710","-103.994861, 36.7425"
"3711","-106.569156, 35.193322"
"3712","-106.568428, 35.193242"
"3713","-103.325734, 34.373158"
"3714","-103.325734, 34.373158"
"3715","-104.80189, 35.033017"
"3716","-105.519611, 33.374444"
"3717","-105.519611, 33.374444"
"3718","-105.278539, 35.955593"
"3719","-105.603764, 32.864476"
"3720","-105.610753, 32.867758"
"3721","-105.610753, 32.867758"
"3722","-106.575416, 36.704027"
"3723","-106.575416, 36.704027"
"3724","-106.660278, 35.823611"
"3725","-105.693275, 35.686812"
"3726","-107.307183, 32.893294"
"3727","-107.307183, 32.893294"
"3728","-108.263599, 33.229503"
"3729","-108.263599, 33.229503"
"3730","-104.479848, 36.994189"
"3731","-104.479848, 36.994189"
"3732","-104.737505, 32.201125"
"3733","-108.150083, 33.02803"
"3734","-108.150083, 33.02803"
"3735","-108.152503, 33.031455"
"3736","-108.124388, 32.225275"
"3737","-108.124388, 32.225275"
"3738","-105.725255, 32.732873"
"3739","-105.598833, 36.355055"
"3740","-107.198142, 32.240315"
"3741","-107.198125, 32.240332"
"3742","-107.198142, 32.240315"
"3743","-108.034504, 32.958184"
"3744","-103.2154, 32.694783"
"3745","-105.6075, 33.329056"
"3746","-105.60525, 33.333503"
"3747","-105.601263, 33.333305"
"3748","-105.601611, 33.333111"
"3749","-105.60125, 33.333278"
"3750","-105.6075, 33.329056"
"3751","-105.537766, 32.914302"
"3752","-105.536, 32.910874"
"3753","-105.663452, 36.319083"
"3754","-103.908304, 35.202833"
"3755","-105.949555, 36.006888"
"3756","-107.987653, 36.699023"
"3757","-107.959606, 36.668265"
"3758","-108.577831, 32.962626"
"3759","-103.359311, 32.718461"
"3760","-106.930972, 34.15475"
"3761","-106.91752, 34.127383"
"3762","-107.855895, 36.403343"
"3763","-107.85145, 36.403343"
"3764","-103.315061, 32.762188"
"3765","-103.325761, 32.747611"
"3766","-103.37668, 32.762"
"3767","-103.393938, 32.762194"
"3768","-103.393948, 32.747424"
"3769","-103.39395, 32.732888"
"3770","-103.37675, 32.7184"
"3771","-103.376638, 32.733169"
"3772","-103.376719, 32.747419"
"3773","-103.342188, 32.747569"
"3774","-103.376811, 32.77648"
"3775","-103.393961, 32.77648"
"3776","-103.36593, 32.76745"
"3777","-103.34873, 32.76748"
"3778","-103.331419, 32.767561"
"3779","-103.308011, 32.747661"
"3780","-103.342411, 32.733038"
"3781","-103.393938, 32.718338"
"3782","-103.40663, 32.78908"
"3783","-103.43663, 32.789661"
"3784","-103.44525, 32.78968"
"3785","-103.454219, 32.789638"
"3786","-103.354388, 32.712694"
"3787","-103.393456, 32.747303"
"3788","-103.393472, 32.747303"
"3789","-103.393456, 32.747303"
"3790","-106.70422, 36.66567"
"3791","-106.70422, 36.66567"
"3792","-106.621611, 35.872861"
"3793","-104.194913, 35.427572"
"3794","-104.190247, 35.43005"
"3795","-105.909743, 35.731618"
"3796","-105.909521, 35.731724"
"3797","-106.760913, 34.706433"
"3798","-106.583389, 35.137534"
"3799","-106.583389, 35.137534"
"3800","-106.632585, 32.120471"
"3801","-108.576509, 32.961797"
"3802","-108.576509, 32.961797"
"3803","-108.576509, 32.961797"
"3804","-106.0085, 33.340861"
"3805","-106.223164, 36.369406"
"3806","-106.223164, 36.369406"
"3807","-106.622278, 35.704421"
"3808","-106.622278, 35.704421"
"3809","-105.677627, 35.610535"
"3810","-105.675556, 35.610278"
"3811","-105.93316, 35.763946"
"3812","-105.603348, 36.167249"
"3813","-105.603473, 36.167413"
"3814","-105.603348, 36.167249"
"3815","-105.603473, 36.167413"
"3816","-105.83335, 35.743577"
"3817","-105.536773, 36.98045"
"3818","-103.17795, 34.509933"
"3819","-104.396155, 34.612411"
"3820","-108.611925, 32.964691"
"3821","-108.611983, 32.964889"
"3822","-108.611963, 32.96468"
"3823","-108.611883, 32.964628"
"3824","-108.608502, 32.967966"
"3825","-108.611581, 32.964944"
"3826","-108.611581, 32.951608"
"3827","-104.239318, 35.069841"
"3828","-104.879692, 35.865067"
"3829","-103.049663, 35.183958"
"3830","-103.048, 35.184675"
"3831","-103.353514, 34.2601"
"3832","-103.35355, 34.25822"
"3833","-106.696638, 34.81675"
"3834","-106.33153, 35.641601"
"3835","-107.677028, 36.811502"
"3836","-106.037675, 35.978152"
"3837","-105.589956, 36.38007"
"3838","-105.589956, 36.38007"
"3839","-105.377222, 34.996389"
"3840","-103.572048, 32.815197"
"3841","-103.569973, 32.820457"
"3842","-103.578152, 32.814529"
"3843","-103.557559, 32.818582"
"3844","-103.549869, 32.822995"
"3845","-103.553684, 32.820878"
"3846","-103.565807, 32.813325"
"3847","-103.582378, 32.783753"
"3848","-103.540179, 32.827374"
"3849","-104.778497, 34.974366"
"3850","-104.778461, 34.974344"
"3851","-108.870738, 32.066613"
"3852","-107.979668, 32.495087"
"3853","-106.047277, 36.310333"
"3854","-106.087162, 35.89008"
"3855","-107.312951, 32.953088"
"3856","-107.3125, 32.952726"
"3857","-107.312523, 32.952766"
"3858","-105.828333, 35.005694"
"3859","-105.816575, 35.030966"
"3860","-105.844393, 35.00644"
"3861","-103.158775, 35.928355"
"3862","-106.682161, 32.532376"
"3863","-106.676641, 32.526974"
"3864","-106.681646, 32.531177"
"3865","-106.664238, 32.517773"
"3866","-103.521916, 32.784694"
"3867","-103.545111, 32.785888"
"3868","-103.550166, 32.814666"
