"","c...106.079272..35.032347.....106.068962..35.027495.....106.538399..35.192296..."
"198","-106.138272, 35.038558"
"199","-106.658375, 34.796494"
"200","-106.658141, 34.796469"
"201","-106.658138, 34.796463"
"202","-107.988822, 35.283238"
"203","-107.991169, 35.288747"
"204","-106.44355, 35.067714"
"205","-106.443686, 35.067675"
"206","-106.44355, 35.067713"
"207","-104.614167, 36.381944"
"208","-104.416111, 32.586277"
"209","-104.416111, 32.586277"
"210","-108.188424, 33.035564"
"211","-108.190156, 33.035089"
"212","-107.751047, 32.231658"
"213","-105.357457, 35.920479"
"214","-106.065639, 32.832194"
"215","-106.349454, 36.201175"
"216","-106.447305, 35.309777"
"217","-107.4888, 36.99591"
"218","-107.488903, 36.995919"
"219","-107.48888, 36.99591"
"220","-107.48563, 36.99703"
"221","-106.170722, 35.082027"
"222","-106.173055, 35.083888"
"223","-106.168, 35.084527"
"224","-106.155858, 35.069214"
"225","-106.173468, 35.084935"
"226","-106.155277, 35.069167"
"227","-106.173056, 35.083889"
"228","-106.155278, 35.083611"
"229","-106.173468, 35.084935"
"230","-107.208393, 33.225961"
"231","-106.890833, 34.058333"
"232","-106.890833, 34.058333"
"233","-105.59117, 36.735012"
"234","-106.132027, 34.986666"
"235","-106, 34.875"
"236","-107.156634, 34.955898"
"237","-107.158018, 34.952606"
"238","-107.152303, 34.955128"
"239","-107.152303, 34.955128"
"240","-107.167482, 34.956329"
"241","-107.168094, 34.956436"
"242","-107.899444, 35.189719"
"243","-107.871944, 35.161108"
"244","-104.385583, 36.920055"
"245","-104.387108, 36.914836"
"246","-104.432036, 36.918404"
"247","-106.79353, 32.366912"
"248","-108.213251, 33.040531"
"249","-105.671282, 33.412354"
"250","-105.371614, 36.01746"
"251","-105.372161, 36.017773"
"252","-105.369583, 36.017083"
"253","-105.36967, 36.0155"
"254","-106.149583, 36.55175"
"255","-106.445959, 35.33118"
"256","-106.445959, 35.33118"
"257","-106.446183, 35.331289"
"258","-106.446183, 35.331289"
"259","-105.427222, 35.252222"
"260","-107.22482, 33.30758"
"261","-105.654111, 36.358938"
"262","-105.655239, 36.362111"
"263","-106.55393, 36.70774"
"264","-106.55914, 36.71159"
"265","-106.551946, 36.700733"
"266","-106.559161, 36.711604"
"267","-106.553912, 36.707759"
"268","-105.809328, 36.043329"
"269","-105.79448, 36.039404"
"270","-105.794472, 36.039388"
"271","-106.112902, 36.495022"
"272","-106.057085, 36.016067"
"273","-106.0635, 36.01535"
"274","-106.560416, 36.185371"
"275","-106.557338, 36.187998"
"276","-106.560472, 36.188653"
"277","-106.012656, 35.658856"
"278","-106.012883, 35.659197"
"279","-105.860047, 35.589978"
"280","-106.106911, 35.444648"
"281","-105.898881, 35.956608"
"282","-105.743974, 35.564501"
"283","-105.742833, 35.5605"
"284","-105.945964, 35.395261"
"285","-105.770573, 35.582813"
"286","-105.775361, 35.586166"
"287","-105.771133, 35.591146"
"288","-105.768579, 35.595241"
"289","-105.771404, 35.588788"
"290","-105.77897, 35.601248"
"291","-105.768064, 35.595056"
"292","-106.158911, 35.402816"
"293","-106.155856, 35.399482"
"294","-106.157911, 35.400454"
"295","-106.107911, 35.400454"
"296","-105.902243, 36.001136"
"297","-105.903686, 36.001516"
"298","-105.899187, 36.000691"
"299","-105.971, 35.678083"
"300","-105.961333, 35.68564"
"301","-106.158416, 35.835222"
"302","-106.156524, 35.829137"
"303","-106.149111, 35.826666"
"304","-106.148666, 35.820555"
"305","-106.148444, 35.814583"
"306","-106.14231, 35.818833"
"307","-106.15114, 35.833944"
"308","-105.599151, 36.341276"
"309","-105.586567, 36.339812"
"310","-105.666389, 36.379769"
"311","-105.57326, 36.410192"
"312","-105.573152, 36.410051"
"313","-105.570038, 36.412776"
"314","-105.579678, 36.399387"
"315","-105.963354, 35.675975"
"316","-105.961333, 35.68564"
"317","-105.971, 35.678083"
"318","-105.89121, 35.6883"
"319","-105.967472, 35.68478"
"320","-105.96175, 35.684611"
"321","-105.971, 35.678083"
"322","-105.963465, 35.675725"
"323","-105.965694, 35.659083"
"324","-105.97975, 35.67272"
"325","-105.967472, 35.684777"
"326","-106.016733, 35.711855"
"327","-105.960972, 35.71731"
"328","-105.88992, 35.6885"
"329","-105.88992, 35.6885"
"330","-106.143828, 35.822071"
"331","-106.016733, 35.711855"
"332","-105.9387, 35.584706"
"333","-105.938167, 35.587645"
"334","-105.930532, 35.586456"
"335","-105.921492, 35.588367"
"336","-105.922659, 35.581672"
"337","-105.909826, 35.59127"
"338","-105.907187, 35.584839"
"339","-105.907448, 35.599791"
"340","-105.907323, 35.599862"
"341","-105.910964, 35.618727"
"342","-105.910418, 34.585495"
"343","-105.933132, 35.76114"
"344","-105.667, 36.529367"
"345","-105.666533, 36.529315"
"346","-105.56871, 36.519182"
"347","-105.568676, 36.518831"
"348","-105.56871, 36.519182"
"349","-105.56376, 36.39061"
"350","-105.563954, 36.391638"
"351","-105.56376, 36.39061"
"352","-105.563954, 36.391638"
"353","-105.556204, 36.376721"
"354","-105.556204, 36.376721"
"355","-105.624956, 36.76336"
"356","-105.624083, 36.763194"
"357","-105.624083, 36.763194"
"358","-105.624083, 36.763194"
"359","-105.624083, 36.763194"
"360","-105.616667, 36.764167"
"361","-105.735805, 36.170777"
"362","-105.739442, 36.159918"
"363","-105.739904, 36.16008"
"364","-105.530712, 36.973533"
"365","-105.525916, 36.967111"
"366","-105.530712, 36.973533"
"367","-105.526565, 36.967183"
"368","-105.519333, 36.963222"
"369","-105.615, 36.342722"
"370","-105.613055, 36.34875"
"371","-105.613055, 36.34875"
"372","-105.681626, 36.138303"
"373","-106.047777, 36.302388"
"374","-106.050555, 36.295611"
"375","-105.689194, 36.170083"
"376","-105.689765, 36.170108"
"377","-105.679167, 36.174722"
"378","-105.587173, 36.72797"
"379","-105.582367, 36.724295"
"380","-105.591118, 36.717804"
"381","-105.587148, 36.728007"
"382","-105.582367, 36.724295"
"383","-105.6029, 36.364498"
"384","-105.604151, 36.363331"
"385","-105.600373, 36.352609"
"386","-105.600333, 36.352639"
"387","-105.418944, 36.701194"
"388","-105.418694, 36.70025"
"389","-105.418972, 36.699833"
"390","-105.418888, 36.699361"
"391","-105.395083, 36.700277"
"392","-105.418222, 36.699972"
"393","-105.395083, 36.700277"
"394","-105.726667, 36.700258"
"395","-105.722348, 36.19458"
"396","-105.707709, 36.185275"
"397","-105.722348, 36.19458"
"398","-105.672431, 36.151998"
"399","-105.599599, 36.345924"
"400","-105.602623, 36.34753"
"401","-105.602568, 36.347359"
"402","-105.625067, 36.455386"
"403","-106.12403, 34.989023"
"404","-106.730417, 34.722194"
"405","-106.292389, 35.159972"
"406","-106.698336, 31.956614"
"407","-106.698336, 31.956614"
"408","-105.794278, 32.693189"
"409","-105.791128, 32.693061"
"410","-105.790572, 32.693061"
"411","-105.839305, 36.183638"
"412","-105.839378, 36.183635"
"413","-105.839361, 36.181361"
"414","-106.758496, 34.237836"
"415","-107.976667, 36.835778"
"416","-105.6784, 35.722216"
"417","-105.679027, 35.722833"
"418","-105.6784, 35.722216"
"419","-105.573678, 36.405109"
"420","-105.575278, 36.418056"
"421","-105.570022, 36.412909"
"422","-105.569458, 36.412889"
"423","-105.579678, 36.399387"
"424","-105.573678, 36.405109"
"425","-105.570024, 36.412915"
"426","-105.57326, 36.410189"
"427","-105.570038, 36.412776"
"428","-105.761214, 36.130247"
"429","-105.755722, 36.131361"
"430","-105.758033, 36.13345"
"431","-105.755722, 36.131361"
"432","-105.964127, 36.630129"
"433","-105.967888, 36.638888"
"434","-105.64974, 36.52926"
"435","-105.650444, 36.531305"
"436","-105.670811, 36.190269"
"437","-105.584722, 36.533694"
"438","-108.786197, 35.523912"
"439","-105.571027, 36.380055"
"440","-105.573666, 36.382861"
"441","-105.571027, 36.380055"
"442","-105.573666, 36.382861"
"443","-108.768974, 35.541357"
"444","-108.769444, 35.541667"
"445","-108.79295, 35.62336"
"446","-108.76643, 35.65384"
"447","-108.77611, 35.63734"
"448","-108.7802, 35.63738"
"449","-108.76907, 35.6228"
"450","-108.79285, 35.63737"
"451","-108.757584, 35.525301"
"452","-108.764251, 35.52419"
"453","-108.76377, 35.52235"
"454","-108.768328, 35.520958"
"455","-108.79301, 35.62344"
"456","-108.707861, 35.534745"
"457","-108.75984, 35.54444"
"458","-108.75987, 35.55189"
"459","-108.77653, 35.59434"
"460","-108.78262, 35.65381"
"461","-108.7825, 35.62344"
"462","-108.75494, 35.5268"
"463","-108.77421, 35.60907"
"464","-108.76194, 35.52643"
"465","-108.757584, 35.525301"
"466","-108.707861, 35.534745"
"467","-108.760085, 35.572244"
"468","-108.75994, 35.57083"
"469","-108.713888, 35.568555"
"470","-108.760085, 35.572244"
"471","-108.4983, 35.13661"
"472","-108.49656, 35.14043"
"473","-108.49598, 35.13278"
"474","-107.4975, 35.14"
"475","-108.225902, 35.39836"
"476","-106.079336, 35.032355"
"477","-106.079383, 35.032297"
"478","-106.7805, 34.724972"
"479","-106.538381, 35.191726"
"480","-106.529031, 35.320779"
"481","-106.575884, 35.319627"
"482","-106.528444, 35.320722"
"483","-106.582221, 35.337361"
"484","-106.536889, 35.302793"
"485","-106.996268, 36.070824"
"486","-106.99605, 36.06981"
"487","-106.996583, 36.070133"
"488","-106.996274, 36.071132"
"489","-106.96909, 36.04235"
"490","-106.941646, 36.025685"
"491","-105.587789, 36.408943"
"492","-105.587122, 36.408887"
"493","-106.645138, 34.753998"
"494","-106.644777, 34.754166"
"495","-106.644555, 34.753998"
"496","-106.644563, 34.75415"
"497","-106.644979, 34.753998"
"498","-106.644531, 34.753872"
"499","-106.645156, 34.753889"
"500","-106.697667, 35.808056"
"501","-106.677111, 35.821972"
"502","-106.661833, 35.821111"
"503","-106.696811, 35.807108"
"504","-106.675833, 35.816944"
"505","-106.677222, 35.821389"
"506","-106.940596, 36.104185"
"507","-105.957722, 35.687694"
"508","-105.963521, 35.675975"
"509","-105.965694, 35.659083"
"510","-105.88079, 35.689844"
"511","-105.967472, 35.68478"
"512","-105.89121, 35.6883"
"513","-105.97975, 35.672722"
"514","-106.165098, 35.832759"
"515","-106.04557, 35.631521"
"516","-106.149496, 35.827026"
"517","-105.680432, 36.174747"
"518","-105.96069, 35.71731"
"519","-105.889671, 35.688194"
"520","-106.04557, 35.631521"
"521","-105.97975, 35.67272"
"522","-105.965694, 35.659083"
"523","-104.623305, 36.387138"
"524","-104.623055, 36.386916"
"525","-106.173813, 35.051705"
"526","-105.478944, 36.349"
"527","-106.122222, 34.955"
"528","-106.128056, 34.953333"
"529","-106.122222, 34.955"
"530","-106.044722, 34.953333"
"531","-106.537919, 35.186525"
"532","-106.577881, 35.137656"
"533","-106.3495, 36.200972"
"534","-106.453333, 35.318333"
"535","-106.699198, 32.039979"
"536","-106.699198, 32.039979"
"537","-106.698932, 32.039856"
"538","-106.808567, 36.225904"
"539","-106.808567, 36.225904"
"540","-107.809722, 36.359722"
"541","-107.808333, 36.357778"
"542","-106, 35.875"
"543","-105.590029, 36.373224"
"544","-106.699722, 34.799444"
"545","-106.699722, 34.799444"
"546","-106.366972, 35.217337"
"547","-106.366949, 35.217321"
"548","-106.360221, 35.216761"
"549","-106.557817, 31.791324"
"550","-106.468644, 36.553627"
"551","-106.473333, 36.548611"
"552","-106.46243, 36.573866"
"553","-106.4625, 36.573888"
"554","-106.4625, 36.573888"
"555","-106.603333, 35.245833"
"556","-105.937222, 35.686944"
"557","-106.527972, 35.193777"
"558","-106.526277, 35.193944"
"559","-106.571333, 36.918972"
"560","-106.573585, 36.919992"
"561","-106.614758, 36.924456"
"562","-106.57587, 36.911401"
"563","-106.573556, 36.920028"
"564","-106.64, 35.87"
"565","-106.766667, 34.766667"
"566","-106.381111, 35.096083"
"567","-108.10728, 36.78753"
"568","-108.07598, 36.79189"
"569","-108.076366, 36.81222"
"570","-108.083611, 36.815"
"571","-105.444567, 35.382048"
"572","-105.445971, 35.382097"
"573","-105.824935, 35.54934"
"574","-105.824101, 35.548951"
"575","-105.824712, 35.549501"
"576","-105.83869, 35.537869"
"577","-107.307114, 32.904446"
"578","-105.586122, 36.388303"
"579","-104.752823, 36.623645"
"580","-104.752472, 36.610027"
"581","-104.752611, 36.609722"
"582","-104.735248, 36.609978"
"583","-104.751709, 36.610188"
"584","-104.751444, 36.608611"
"585","-104.750972, 36.608805"
"586","-106.86001, 32.29147"
"587","-106.859021, 32.290937"
"588","-106.859371, 32.290656"
"589","-105.856908, 36.008275"
"590","-105.857305, 36.008045"
"591","-105.856333, 36.008242"
"592","-105.856731, 36.008008"
"593","-106.509226, 35.313147"
"594","-106.504671, 35.311632"
"595","-106.856111, 35.006092"
"596","-106.86098, 35.009964"
"597","-106.86098, 35.009964"
"598","-106.861216, 35.00974"
"599","-106.861262, 35.009876"
"600","-106.613789, 36.166036"
"601","-106.613833, 36.166083"
"602","-106.613833, 36.166083"
"603","-106.61275, 35.22975"
"604","-106.277294, 34.963061"
"605","-105.887594, 36.19779"
"606","-105.877475, 36.196047"
"607","-105.886965, 36.196412"
"608","-106.65264, 35.871816"
"609","-106.500944, 35.310345"
"610","-106.500944, 35.310345"
"611","-106.635581, 35.079491"
"612","-106.635581, 35.079491"
"613","-106.636414, 35.082547"
"614","-106.636414, 35.082547"
"615","-106.636692, 35.08088"
"616","-106.685777, 36.384111"
"617","-106.043911, 36.014467"
"618","-106.044894, 36.017094"
"619","-106.191136, 36.351407"
"620","-106.52948, 36.726708"
